Timestamp,Resistance,delta-Resistance,SoC_%,SoH_%,Temperature,Label
37,0.0555,0.00093,44.5,94.39,24.84,Normal
38,0.0539,-0.00156,46.7,94.24,25.12,Normal
39,0.0541,0.00014,44.4,94.09,25.85,Normal
40,0.0553,0.0012,41.8,93.94,24.44,Early
41,0.0548,-0.00045,41.1,93.79,24.02,Normal
42,0.0533,-0.00158,40.1,93.64,25.15,Normal
43,0.0552,0.00193,43.6,93.48,24.48,Early
44,0.053,-0.00223,41.9,93.33,25.43,Normal
45,0.0542,0.00122,45.3,93.18,24.55,Early
46,0.055,0.00086,46.8,93.03,25.59,Normal
47,0.0553,0.00027,47.6,92.88,24.76,Normal
48,0.055,-0.00036,49.8,92.73,25.62,Normal
49,0.0552,0.00027,51.2,92.58,25.32,Normal
50,0.056,0.00079,49.4,92.42,24.84,Normal
51,0.0556,-0.00041,47.3,92.27,25.26,Normal
52,0.0654,0.00976,49.2,92.12,24.61,Critical
53,0.0747,0.00928,47.4,91.97,25.45,Critical
54,0.0851,0.01043,51.3,91.82,24.59,Critical
55,0.0561,-0.02895,52.9,91.67,24.67,Normal
56,0.0555,-0.00064,53.0,91.52,25.34,Normal
57,0.0554,-8e-05,52.2,91.36,25.18,Normal
58,0.0572,0.00183,50.7,91.21,24.17,Early
59,0.056,-0.00125,53.2,91.06,25.19,Normal
60,0.0548,-0.00116,52.7,90.91,24.33,Normal
61,0.0559,0.00104,52.4,90.76,24.55,Early
62,0.055,-0.0009,50.7,90.61,24.81,Normal
63,0.0542,-0.00078,48.5,90.45,26.02,Normal
64,0.0549,0.00068,48.1,90.3,24.4,Normal
65,0.0556,0.00076,45.3,90.15,24.31,Normal
66,0.0525,-0.00308,44.0,90.0,24.55,Normal
67,0.0549,0.00237,44.6,89.85,24.38,Early
68,0.0553,0.00034,47.7,89.7,25.22,Normal
69,0.0572,0.00189,50.2,89.55,24.67,Early
70,0.0553,-0.00181,51.8,89.39,25.28,Normal
71,0.056,0.0007,52.1,89.24,25.32,Normal
72,0.0555,-0.0005,51.0,89.09,24.92,Normal
73,0.0576,0.00204,51.2,88.94,25.31,Early
74,0.054,-0.00363,48.6,88.79,24.4,Normal
75,0.0545,0.00052,48.6,88.64,26.11,Normal
76,0.0657,0.0112,48.6,88.48,25.42,Critical
77,0.075,0.00936,46.3,88.33,24.45,Critical
78,0.0848,0.00974,47.8,88.18,25.42,Critical
79,0.0552,-0.02952,46.2,88.03,24.56,Normal
80,0.0563,0.00109,44.7,87.88,24.43,Early
81,0.0552,-0.00111,44.4,87.73,24.9,Normal
82,0.0553,9e-05,38.6,87.58,26.39,Normal
83,0.0557,0.00034,37.8,87.42,25.29,Normal
84,0.0551,-0.00061,41.3,87.27,23.9,Normal
85,0.0542,-0.00085,42.5,87.12,24.91,Normal
86,0.0549,0.00072,46.0,86.97,25.84,Normal
87,0.0554,0.00043,48.8,86.82,25.45,Normal
88,0.0561,0.00074,48.8,86.67,25.45,Normal
89,0.0551,-0.00099,44.2,86.52,24.73,Normal
90,0.0545,-0.00057,43.2,86.36,24.29,Normal
91,0.0546,0.0001,40.3,86.21,24.56,Normal
92,0.0553,0.00072,40.4,86.06,25.07,Normal
93,0.0562,0.00082,39.5,85.91,23.96,Normal
94,0.0545,-0.00166,38.3,85.76,24.45,Normal
95,0.0561,0.00154,39.1,85.61,26.2,Early
96,0.0533,-0.00274,39.0,85.45,24.74,Normal
97,0.055,0.0017,41.5,85.3,25.82,Early
98,0.0559,0.0009,40.3,85.15,24.9,Normal
99,0.0532,-0.00267,37.4,85.0,24.89,Normal
